type1,type2,x0,x1/4,x1/2,x1,x2,x4,total_resistances,total_weaknesses,immunities,defensive_score
normal,fire,1,0,6,7,4,0,6,4,1,3
ghost,dragon,2,0,6,5,5,0,6,5,2,3
ground,flying,2,0,3,11,1,1,3,2,2,3
fire,fire,0,6,0,9,0,3,6,3,0,3
poison,poison,0,5,0,11,0,2,5,2,0,3
poison,fairy,1,2,3,9,3,0,5,3,1,3
normal,poison,1,0,4,11,2,0,4,2,1,3
poison,dragon,0,1,6,7,4,0,7,4,0,3
water,electric,0,1,4,11,2,0,5,2,0,3
fighting,poison,0,1,5,9,2,1,6,3,0,3
fire,bug,0,1,5,9,2,1,6,3,0,3
fire,rock,0,1,6,7,2,2,7,4,0,3
fire,dark,1,0,6,7,4,0,6,4,1,3
grass,fairy,1,0,6,6,4,1,6,5,1,2
ground,fairy,2,0,4,8,4,0,4,4,2,2
fighting,dragon,0,0,7,6,4,1,7,5,0,2
poison,ground,1,1,4,8,4,0,5,4,1,2
poison,flying,1,3,2,8,4,0,5,4,1,2
poison,rock,0,1,5,8,3,1,6,4,0,2
poison,ghost,2,2,2,8,4,0,4,4,2,2
rock,fairy,1,0,5,8,3,1,5,4,1,2
psychic,ghost,2,0,2,12,0,2,2,2,2,2
ghost,ghost,2,2,0,12,0,2,2,2,2,2
electric,dark,1,0,5,8,4,0,5,4,1,2
flying,dragon,1,1,4,8,3,1,5,4,1,2
fairy,fairy,1,3,0,12,0,2,3,2,1,2
electric,dragon,0,1,5,8,4,0,6,4,0,2
water,dark,1,0,6,6,5,0,6,5,1,2
normal,water,1,0,4,10,3,0,4,3,1,2
normal,electric,1,0,3,12,2,0,3,2,1,2
dragon,dark,1,0,6,6,4,1,6,5,1,2
normal,fairy,2,0,2,12,2,0,2,2,2,2
fire,water,0,3,2,10,3,0,5,3,0,2
fire,fighting,0,1,5,8,4,0,6,4,0,2
fire,psychic,0,0,7,6,5,0,7,5,0,2
fire,dragon,0,2,3,10,3,0,5,3,0,2
water,water,0,4,0,12,0,2,4,2,0,2
ghost,fairy,3,1,0,12,2,0,1,2,3,2
water,fighting,0,0,7,6,5,0,7,5,0,2
water,bug,0,0,5,10,3,0,5,3,0,2
electric,bug,0,0,4,12,2,0,4,2,0,2
electric,fighting,0,0,5,10,3,0,5,3,0,2
electric,electric,0,3,0,14,0,1,3,1,0,2
water,dragon,0,2,1,13,2,0,3,2,0,1
fighting,ghost,2,1,2,9,4,0,3,4,2,1
dragon,dragon,0,4,0,11,0,3,4,3,0,1
fighting,dark,1,1,2,11,2,1,3,3,1,1
fire,grass,0,1,3,11,3,0,4,3,0,1
ground,ghost,3,1,2,7,5,0,3,5,3,1
grass,poison,0,1,4,9,4,0,5,4,0,1
bug,ghost,2,0,4,7,5,0,4,5,2,1
electric,ground,1,0,4,9,4,0,4,4,1,1
poison,psychic,0,1,3,11,3,0,4,3,0,1
poison,bug,0,2,3,9,4,0,5,4,0,1
normal,dragon,1,0,4,9,4,0,4,4,1,1
normal,flying,2,0,2,11,3,0,2,3,2,1
dark,fairy,2,1,1,11,3,0,2,3,2,1
electric,psychic,0,0,5,9,4,0,5,4,0,1
ground,dragon,1,0,3,11,2,1,3,3,1,1
fighting,bug,0,0,5,9,3,1,5,4,0,1
flying,fairy,2,2,2,7,5,0,4,5,2,1
electric,rock,0,1,4,9,3,1,5,4,0,1
water,rock,0,1,4,9,3,1,5,4,0,1
water,psychic,0,0,6,7,5,0,6,5,0,1
grass,ghost,2,0,4,7,5,0,4,5,2,1
flying,dark,2,0,3,9,4,0,3,4,2,1
flying,ghost,3,1,2,7,5,0,3,5,3,1
flying,rock,1,0,5,7,5,0,5,5,1,1
flying,flying,1,3,0,11,0,3,3,3,1,1
bug,fairy,1,1,4,7,5,0,5,5,1,1
bug,dark,1,0,4,8,5,0,4,5,1,0
rock,dark,1,0,6,4,6,1,6,7,1,0
bug,dragon,0,1,4,8,5,0,5,5,0,0
psychic,dragon,0,0,6,6,6,0,6,6,0,0
dark,dark,1,2,0,12,0,3,2,3,1,0
rock,ghost,2,1,3,6,6,0,4,6,2,0
psychic,fairy,1,1,1,12,3,0,2,3,1,0
bug,bug,0,3,0,12,0,3,3,3,0,0
ground,bug,1,0,3,10,4,0,3,4,1,0
ground,rock,1,1,4,6,4,2,5,6,1,0
ground,dark,2,0,4,6,6,0,4,6,2,0
normal,normal,1,0,0,16,0,1,0,1,1,0
grass,dark,1,0,6,4,6,1,6,7,1,0
ice,fairy,1,0,3,10,3,1,3,4,1,0
ice,poison,0,0,5,8,5,0,5,5,0,0
grass,fighting,0,0,6,6,5,1,6,6,0,0
electric,grass,0,1,3,10,4,0,4,4,0,0
water,grass,0,1,2,12,3,0,3,3,0,0
fire,ice,0,1,3,10,3,1,4,4,0,0
normal,dark,2,0,1,12,2,1,1,3,2,0
normal,rock,1,0,4,8,4,1,4,5,1,0
ice,ghost,2,0,3,8,5,0,3,5,2,0
normal,bug,1,0,2,12,3,0,2,3,1,0
fighting,flying,1,1,3,8,5,0,4,5,1,0
fighting,fairy,1,2,2,8,5,0,4,5,1,0
normal,psychic,1,0,1,14,2,0,1,2,1,0
normal,fighting,1,0,3,10,4,0,3,4,1,0
ground,ground,1,2,0,12,0,3,2,3,1,0
normal,ground,2,0,2,10,4,0,2,4,2,0
fighting,fighting,0,3,0,12,0,3,3,3,0,0
electric,ice,0,0,3,11,4,0,3,4,0,-1
grass,bug,0,2,3,7,4,2,5,6,0,-1
normal,grass,1,0,4,7,6,0,4,6,1,-1
grass,ground,1,0,2,11,3,1,2,4,1,-1
rock,dragon,0,1,4,7,6,0,5,6,0,-1
grass,flying,1,1,2,9,4,1,3,5,1,-1
rock,rock,0,4,0,9,0,5,4,5,0,-1
grass,psychic,0,0,6,5,6,1,6,7,0,-1
grass,grass,0,4,0,9,0,5,4,5,0,-1
ground,psychic,1,0,4,7,6,0,4,6,1,-1
bug,rock,0,0,2,13,3,0,2,3,0,-1
fighting,rock,0,0,6,5,7,0,6,7,0,-1
psychic,dark,1,0,0,15,1,1,0,2,1,-1
fighting,psychic,0,0,2,13,3,0,2,3,0,-1
ice,flying,1,0,2,11,3,1,2,4,1,-1
fighting,ground,1,1,3,7,6,0,4,6,1,-1
flying,psychic,1,1,2,9,5,0,3,5,1,-1
flying,bug,1,2,1,9,4,1,3,5,1,-1
psychic,psychic,0,2,0,13,0,3,2,3,0,-1
ice,bug,0,0,3,11,2,2,3,4,0,-1
grass,rock,0,0,2,12,4,0,2,4,0,-2
ice,dragon,0,0,3,10,5,0,3,5,0,-2
normal,ice,1,0,1,12,3,1,1,4,1,-2
ice,dark,1,0,3,8,5,1,3,6,1,-2
water,ice,0,1,1,12,4,0,2,4,0,-2
ice,rock,0,0,4,8,4,2,4,6,0,-2
grass,dragon,0,3,1,8,5,1,4,6,0,-2
psychic,bug,0,1,3,8,6,0,4,6,0,-2
psychic,rock,0,0,5,6,7,0,5,7,0,-2
grass,ice,0,0,4,7,6,1,4,7,0,-3
ice,ground,1,0,1,11,5,0,1,5,1,-3
ice,fighting,0,0,3,9,6,0,3,6,0,-3
ice,ice,0,1,0,13,0,4,1,4,0,-3
ice,psychic,0,0,2,10,6,0,2,6,0,-4
